Region,Q4_2024_Pct,Q1_2025_Pct,Q2_2025_Pct,Q2_Change_pp
World,21.9,21.9,20.5,-1.4
Africa,31.0,29.6,27.8,-1.8
South-East Asia,30.1,29.1,26.8,-2.3
Middle East,25.7,24.1,22.7,-1.4
Central Asia,23.5,24.2,20.6,-3.6
Latin America,21.5,21.0,20.4,-0.6
Eastern Europe,21.8,21.8,20.2,-1.6
East Asia,22.7,21.0,19.7,-1.3
Southern Europe,20.7,20.8,19.4,-1.4
South Asia,20.7,21.0,19.3,-1.7
Russia,18.3,19.2,17.9,-1.3
Australia and New Zealand,13.9,13.9,14.8,0.9
Western Europe,11.6,11.8,11.8,0.0
Northern Europe,10.6,10.7,11.2,0.5
